go_id,name_1006,namespace_1003
GO:0016021,integral component of membrane,cellular_component
GO:0006810,transport,biological_process
GO:0005515,protein binding,molecular_function
GO:0003677,DNA binding,molecular_function
GO:0003899,DNA-directed RNA polymerase activity,molecular_function
GO:0006351,"transcription, DNA-templated",biological_process
GO:0006952,defense response,biological_process
GO:0009607,response to biotic stimulus,biological_process
GO:0003824,catalytic activity,molecular_function
GO:0005975,carbohydrate metabolic process,biological_process
GO:0006108,malate metabolic process,biological_process
GO:0016615,malate dehydrogenase activity,molecular_function
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",molecular_function
GO:0055114,oxidation-reduction process,biological_process
GO:0003700,"transcription factor activity, sequence-specific DNA binding",molecular_function
GO:0005634,nucleus,cellular_component
GO:0006355,"regulation of transcription, DNA-templated",biological_process
GO:0043565,sequence-specific DNA binding,molecular_function
GO:0005618,cell wall,cellular_component
GO:0009505,plant-type cell wall,cellular_component
GO:0016020,membrane,cellular_component
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function
GO:0006073,cellular glucan metabolic process,biological_process
GO:0010411,xyloglucan metabolic process,biological_process
GO:0016762,xyloglucan:xyloglucosyl transferase activity,molecular_function
GO:0042546,cell wall biogenesis,biological_process
GO:0048046,apoplast,cellular_component
GO:0071555,cell wall organization,biological_process
GO:0003676,nucleic acid binding,molecular_function
GO:0003724,RNA helicase activity,molecular_function
GO:0004386,helicase activity,molecular_function
GO:0005524,ATP binding,molecular_function
GO:0008026,ATP-dependent helicase activity,molecular_function
GO:0009793,embryo development ending in seed dormancy,biological_process
GO:0004497,monooxygenase activity,molecular_function
GO:0005506,iron ion binding,molecular_function
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",molecular_function
GO:0020037,heme binding,molecular_function
GO:0003674,molecular_function,molecular_function
GO:0008150,biological_process,biological_process
GO:0005737,cytoplasm,cellular_component
GO:0005886,plasma membrane,cellular_component
GO:0016307,phosphatidylinositol phosphate kinase activity,molecular_function
GO:0016324,apical plasma membrane,cellular_component
GO:0046488,phosphatidylinositol metabolic process,biological_process
GO:0046854,phosphatidylinositol phosphorylation,biological_process
GO:0048767,root hair elongation,biological_process
GO:0048768,root hair cell tip growth,biological_process
GO:0000166,nucleotide binding,molecular_function
GO:0004672,protein kinase activity,molecular_function
GO:0004674,protein serine/threonine kinase activity,molecular_function
GO:0006468,protein phosphorylation,biological_process
GO:0007165,signal transduction,biological_process
GO:0009268,response to pH,biological_process
GO:0016301,kinase activity,molecular_function
GO:0016310,phosphorylation,biological_process
GO:0016740,transferase activity,molecular_function
GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecular_function
GO:0004601,peroxidase activity,molecular_function
GO:0005576,extracellular region,cellular_component
GO:0006979,response to oxidative stress,biological_process
GO:0016491,oxidoreductase activity,molecular_function
GO:0046872,metal ion binding,molecular_function
GO:0008483,transaminase activity,molecular_function
GO:0009058,biosynthetic process,biological_process
GO:0030170,pyridoxal phosphate binding,molecular_function
GO:0003723,RNA binding,molecular_function
GO:0005488,binding,molecular_function
GO:0005730,nucleolus,cellular_component
GO:0000151,ubiquitin ligase complex,cellular_component
GO:0004842,ubiquitin-protein transferase activity,molecular_function
GO:0009266,response to temperature stimulus,biological_process
GO:0009651,response to salt stress,biological_process
GO:0009737,response to abscisic acid,biological_process
GO:0016567,protein ubiquitination,biological_process
GO:0016874,ligase activity,molecular_function
GO:0030145,manganese ion binding,molecular_function
GO:0045735,nutrient reservoir activity,molecular_function
GO:0005215,transporter activity,molecular_function
GO:0015204,urea transmembrane transporter activity,molecular_function
GO:0015840,urea transport,biological_process
GO:0071918,urea transmembrane transport,biological_process
GO:0008519,ammonium transmembrane transporter activity,molecular_function
GO:0015696,ammonium transport,biological_process
GO:0072488,ammonium transmembrane transport,biological_process
GO:0005509,calcium ion binding,molecular_function
GO:0008152,metabolic process,biological_process
GO:0016787,hydrolase activity,molecular_function
GO:0000808,origin recognition complex,cellular_component
GO:0003688,DNA replication origin binding,molecular_function
GO:0006260,DNA replication,biological_process
GO:0042393,histone binding,molecular_function
GO:0043531,ADP binding,molecular_function
GO:0008270,zinc ion binding,molecular_function
GO:0010584,pollen exine formation,biological_process
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",molecular_function
GO:0030091,protein repair,biological_process
GO:0033743,peptide-methionine (R)-S-oxide reductase activity,molecular_function
GO:0006508,proteolysis,biological_process
GO:0008236,serine-type peptidase activity,molecular_function
GO:0005768,endosome,cellular_component
GO:0005794,Golgi apparatus,cellular_component
GO:0005802,trans-Golgi network,cellular_component
GO:0006857,oligopeptide transport,biological_process
GO:0048544,recognition of pollen,biological_process
GO:0003735,structural constituent of ribosome,molecular_function
GO:0005622,intracellular,cellular_component
GO:0005840,ribosome,cellular_component
GO:0006412,translation,biological_process
GO:0009624,response to nematode,biological_process
GO:0009705,plant-type vacuole membrane,cellular_component
GO:0010043,response to zinc ion,biological_process
GO:0055069,zinc ion homeostasis,biological_process
GO:0055085,transmembrane transport,biological_process
GO:0080167,response to karrikin,biological_process
GO:0009833,plant-type primary cell wall biogenesis,biological_process
GO:0016757,"transferase activity, transferring glycosyl groups",molecular_function
GO:0016760,cellulose synthase (UDP-forming) activity,molecular_function
GO:0030244,cellulose biosynthetic process,biological_process
GO:0030247,polysaccharide binding,molecular_function
GO:0005786,"signal recognition particle, endoplasmic reticulum targeting",cellular_component
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,biological_process
GO:0008312,7S RNA binding,molecular_function
GO:0030529,intracellular ribonucleoprotein complex,cellular_component
GO:0045900,negative regulation of translational elongation,biological_process
GO:0048500,signal recognition particle,cellular_component
GO:0008168,methyltransferase activity,molecular_function
GO:0004252,serine-type endopeptidase activity,molecular_function
GO:0008233,peptidase activity,molecular_function
GO:0042802,identical protein binding,molecular_function
GO:0043086,negative regulation of catalytic activity,biological_process
GO:0004057,arginyltransferase activity,molecular_function
GO:0004814,arginine-tRNA ligase activity,molecular_function
GO:0006420,arginyl-tRNA aminoacylation,biological_process
GO:0016598,protein arginylation,biological_process
GO:0003924,GTPase activity,molecular_function
GO:0005525,GTP binding,molecular_function
GO:0005543,phospholipid binding,molecular_function
